id,landmarks
0,6662 0.76288956
0,5470 0.76628006
0,9698 0.9995463
0,13470 0.9999996
0,3542 0.994022
0,9 0.99998283
0,13501 0.97285247
0,12733 0.7959729
0,7792 0.80962086
0,5189 0.99562585
0,8813 0.9979787
0,2597 0.4344787
0,5202 0.43318585
0,10948 0.23634213
0,10844 0.35894382
0,785 0.93923295
0,5424 0.9652367
0,10348 0.9893487
0,9957 0.8903419
0,10624 0.91491294
0,10375 0.99988955
0,5091 0.9772615
0,5144 0.9949556
0,4116 0.85701126
0,10282 0.68799543
0,3915 0.53035474
0,7600 0.9997849
0,581 0.9989
0,11817 0.8460099
0,1843 0.952875
0,12141 0.6268714
0,12752 0.67808855
0,10054 0.4187071
0,5827 0.99958134
0,3377 0.8415211
0,1626 0.9999506
0,9220 0.88015515
0,3300 0.99989516
0,5625 0.9885606
0,3031 0.9990068
0,5930 0.9996821
0,9557 0.8955031
0,13702 0.9915711
0,5643 0.98657864
0,10242 0.9958475
0,14853 0.99983525
0,220 0.9967497
0,12750 0.9725622
0,6352 0.980758
0,2690 0.9153453
0,11203 0.9871589
0,13377 0.85799325
0,10688 0.8903956
0,1170 0.9995795
0,280 0.99994814
0,11337 0.9996389
0,5505 0.98544383
0,10137 0.9232181
0,8569 0.9223422
0,10123 0.99927264
0,6675 0.99988997
0,11229 0.70023006
0,1408 0.38074145
0,3955 0.5602006
0,3030 0.82235926
0,8410 0.9327348
0,1031 0.7216568
0,12734 0.97855365
0,2656 0.8144445
0,5264 0.8990528
0,8769 0.93097883
0,2840 0.8940163
0,12197 0.89139616
0,13675 0.998637
0,9632 0.981297
0,3106 0.9983792
0,638 0.8812254
0,12340 0.9970645
0,732 0.9321185
0,13926 0.345802
0,12998 0.9991572
0,14634 0.9467004
0,3777 0.99403334
0,3171 0.9140472
0,11097 0.9134363
0,8431 0.9999948
0,5640 0.9955454
0,1674 0.99847806
0,10246 0.9882421
0,5638 0.9962995
0,8587 0.8284264
0,10475 0.9582659
0,1142 0.93317133
0,8607 0.9659679
0,325 0.58422744
0,14254 0.98280567
0,1754 0.8956953
